user_id,timestamp,app,hour,weekday,is_weekend,user_group_id,history_ops,label_next_op
u001,2026-06-08 09:06:04,飞书,9,0,0,0,返回消息列表 -> 搜索联系人 -> 搜索联系人 -> 发送消息,返回消息列表
u001,2026-06-08 09:06:26,飞书,9,0,0,0,搜索联系人 -> 搜索联系人 -> 发送消息 -> 返回消息列表,打开飞书
u001,2026-06-08 09:21:53,飞书,9,0,0,0,搜索联系人 -> 发送消息 -> 返回消息列表 -> 打开飞书,打开飞书
u001,2026-06-08 09:22:53,飞书,9,0,0,0,发送消息 -> 返回消息列表 -> 打开飞书 -> 打开飞书,查看消息列表
u001,2026-06-08 09:23:07,飞书,9,0,0,0,返回消息列表 -> 打开飞书 -> 打开飞书 -> 查看消息列表,进入聊天
u001,2026-06-08 09:24:02,飞书,9,0,0,0,打开飞书 -> 打开飞书 -> 查看消息列表 -> 进入聊天,加入会议
u001,2026-06-08 09:51:30,飞书,9,0,0,0,打开飞书 -> 查看消息列表 -> 进入聊天 -> 加入会议,查看消息列表
u001,2026-06-08 09:52:11,飞书,9,0,0,0,查看消息列表 -> 进入聊天 -> 加入会议 -> 查看消息列表,发送消息
u001,2026-06-08 09:52:53,飞书,9,0,0,0,进入聊天 -> 加入会议 -> 查看消息列表 -> 发送消息,返回消息列表
u001,2026-06-08 09:53:00,飞书,9,0,0,0,加入会议 -> 查看消息列表 -> 发送消息 -> 返回消息列表,返回消息列表
u001,2026-06-08 09:53:10,飞书,9,0,0,0,查看消息列表 -> 发送消息 -> 返回消息列表 -> 返回消息列表,加入会议
u001,2026-06-08 09:53:57,飞书,9,0,0,0,发送消息 -> 返回消息列表 -> 返回消息列表 -> 加入会议,返回消息列表
u001,2026-06-08 09:08:43,腾讯视频,9,0,0,0,暂停视频 -> 浏览首页推荐 -> 浏览首页推荐 -> 暂停视频,播放视频
u001,2026-06-08 09:09:39,腾讯视频,9,0,0,0,浏览首页推荐 -> 浏览首页推荐 -> 暂停视频 -> 播放视频,打开腾讯视频
u001,2026-06-08 09:11:15,腾讯视频,9,0,0,0,浏览首页推荐 -> 暂停视频 -> 播放视频 -> 打开腾讯视频,暂停视频
u001,2026-06-08 09:11:42,腾讯视频,9,0,0,0,暂停视频 -> 播放视频 -> 打开腾讯视频 -> 暂停视频,点击视频
u001,2026-06-08 09:12:29,腾讯视频,9,0,0,0,播放视频 -> 打开腾讯视频 -> 暂停视频 -> 点击视频,播放视频
u001,2026-06-08 09:13:18,腾讯视频,9,0,0,0,打开腾讯视频 -> 暂停视频 -> 点击视频 -> 播放视频,浏览首页推荐
u001,2026-06-08 09:14:01,腾讯视频,9,0,0,0,暂停视频 -> 点击视频 -> 播放视频 -> 浏览首页推荐,搜索视频
u001,2026-06-08 09:14:40,腾讯视频,9,0,0,0,点击视频 -> 播放视频 -> 浏览首页推荐 -> 搜索视频,点击视频
u001,2026-06-08 09:14:55,腾讯视频,9,0,0,0,播放视频 -> 浏览首页推荐 -> 搜索视频 -> 点击视频,查看评论
u001,2026-06-08 09:15:24,腾讯视频,9,0,0,0,浏览首页推荐 -> 搜索视频 -> 点击视频 -> 查看评论,播放视频
u001,2026-06-08 09:16:19,腾讯视频,9,0,0,0,搜索视频 -> 点击视频 -> 查看评论 -> 播放视频,打开腾讯视频
u001,2026-06-08 09:17:15,腾讯视频,9,0,0,0,点击视频 -> 查看评论 -> 播放视频 -> 打开腾讯视频,暂停视频
u001,2026-06-08 09:17:45,腾讯视频,9,0,0,0,查看评论 -> 播放视频 -> 打开腾讯视频 -> 暂停视频,播放视频
